Time (s),Y Position (pixels)
11.14130434782609,-18.892905558065973
11.195652173913047,-19.02118792990912
11.250000000000007,-19.02118792990912
11.304347826086957,-19.02118792990912
11.358695652173914,-19.02118792990912
11.413043478260867,-19.02118792990912
11.467391304347828,-19.02118792990912
11.521739130434774,-19.02118792990912
11.576086956521742,-19.02118792990912
11.630434782608695,-19.02118792990912
11.684782608695656,-18.892905558065973
11.73913043478261,-18.892905558065973
11.793478260869566,-18.892905558065973
11.847826086956523,-18.892905558065973
11.902173913043473,-18.892905558065973
11.95652173913044,-18.892905558065973
12.01086956521739,-18.892905558065973
12.065217391304351,-18.892905558065973
12.119565217391305,-18.892905558065973
12.173913043478258,-18.892905558065973
12.228260869565219,-18.892905558065973
12.28260869565218,-18.892905558065973
12.336956521739125,-18.892905558065973
12.391304347826093,-19.02118792990912
12.445652173913047,-19.02118792990912
12.5,-19.02118792990912
12.554347826086953,-19.02118792990912
12.608695652173914,-19.02118792990912
12.663043478260867,-18.374504192398454
12.71739130434782,-17.925223008819938
12.771739130434788,-17.925223008819938
12.826086956521742,-17.925223008819938
12.880434782608695,-17.925223008819938
12.934782608695656,-17.925223008819938
12.98913043478261,-17.925223008819938
13.043478260869563,-17.925223008819938
13.097826086956523,-17.925223008819938
13.15217391304347,-17.925223008819938
13.206521739130437,-17.925223008819938
13.26086956521739,-18.669729376914194
13.315217391304351,-18.669729376914194
13.369565217391305,-18.669729376914194
13.423913043478265,-18.669729376914194
13.478260869565219,-18.669729376914194
13.532608695652172,-18.669729376914194
13.586956521739133,-18.669729376914194
13.641304347826086,-18.669729376914194
13.695652173913047,-18.669729376914194
13.75,-18.669729376914194
13.804347826086953,-18.669729376914194
13.858695652173914,-18.669729376914194
13.913043478260875,-18.669729376914194
13.96739130434782,-18.669729376914194
14.021739130434788,-18.669729376914194
14.076086956521735,-18.669729376914194
14.130434782608695,-18.669729376914194
14.184782608695656,-18.669729376914194
14.239130434782616,-18.669729376914194
14.293478260869563,-18.669729376914194
14.347826086956516,-18.912821542735685
14.402173913043484,-18.912821542735685
14.456521739130437,-18.912821542735685
14.510869565217398,-18.912821542735685
14.565217391304351,-18.912821542735685
14.619565217391305,-18.912821542735685
14.673913043478265,-18.912821542735685
14.728260869565219,-18.912821542735685
14.782608695652172,-18.912821542735685
14.836956521739133,-18.912821542735685
14.891304347826086,-18.912821542735685
14.945652173913047,-18.912821542735685
15.0,-18.912821542735685
